title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Ain’t She Sweet Anthology 1 version,rock,The Beatles,1960,4064,{},"[Verse 1]
Oh ain't she sweet?
Well see her walking down that street
Yes I ask you very confidentially
Ain't she sweet?

[Verse 2]
Oh ain't she nice?
Well look her over once or twice
Yes I ask you, very confidentially
Ain't she nice?

[Chorus 1]
Just cast an eye
In her direction
Oh me, oh my
Ain't that perfection?

[Verse 3]
Oh I repeat
Well don't you think that's kind of neat?
Yes I ask you, very confidentially
Ain't she sweet?
[Verse 4]
Oh ain't she sweet?
Well see her walking down that street?
Yes I ask you, very confidentially
Ain't she sweet?

[Verse 5]
Oh ain't she nice?
Well look her over once or twice
Yes I ask you, very confidentially
Ain't she nice?

[Chorus 2]
Just cast an eye
In her direction
Oh me, oh my
Ain't that perfection?

[Verse 6]
Oh I repeat
Well don't you think that's kind of neat?
Yes I ask you, very confidentially
Ain't she sweet?

[Verse 7]
Oh ain't she sweet?
Well see her walking down that street?
Well I ask you, very confidentially
Ain't she sweet?
Well I ask you, very confidentially
Ain't she sweet?",210540,en,en,en
Think,rock,James Brown & The Famous Flames,1960,4020,{},"[Chorus]
Think--about the good things
Think--about the bad things
Think--about the right things
Think--about the wrong things
But lady before you leave me, realize that I'm the one who loves you

[Verse 1]
Think about the sacrifices that I made for you
Think about the hard times that were meant for you
Think about the good things that I've done for you
Think about the bad things I tried not to do

Come on, children, yeah
[Chorus]

[Verse 2]
How much of all your happiness can I really claim?
How many tears have you shed for which I was to blame?
Doll, I can't remember just what it brought
I tried so hard to please you , at least that's what I thought
[Chorus]",406730,en,en,en
Freedom Day,pop,Max Roach,1960,3996,{},"Whisper, listen, whisper, listen. Whispers say we're free
Rumors flyin', must be lyin'. Can it really be?
Can't conceive it, can't believe it. But that's what they say
Slave no longer, slave no longer, this is Freedom Day

Freedom Day, it's Freedom Day. Throw those shackle n' chains away
Everybody that I see says it's really true, we're free

Whisper, listen, whisper, listen. Whispers say we're free
Rumors flyin', must be lyin'. Can it really be?
Can't conceive it, don't believe it. But that's what they say
Slave no longer, slave no longer, this is Freedom Day

Freedom Day, it's Freedom Day. Throw those shackle n' chains away
Everybody that I see says it's really true, we're free

Freedom Day, it's Freedom Day. Free to vote and earn my pay
Dim my path and hide the way. But we've made it Freedom Day",1096915,en,en,en
Road Runner,rock,Bo Diddley,1960,3983,{},"[Verse]
I'm a road runner, honey
Beep, beep
Beep, beep
Ah, beep, beep
I'm a road runner honey
And you can't keep up with me
I'm a road runner honey
And you can't keep up with me
Come on, let's race
Baby baby, you will see
Here I come
Beep, beep
Move over, honey, let me by
Move over, baby, let this man by
I'm going to show you, baby
Look out your head
Going to put some dirt in your eye
Here I go
Oh, yeah, how am I doing?
Beep, beep
Take my hand, baby
I'm going toprove to you
That I'm a road running man
I want to show you something
That I'm the fastest in the land
Now, let me by
Beep, beep
Oh, yeah, you said you's fast
But it don't look like you going to last
Goodbye, I've got to put you down
I'll see you someday
Baby, somewhere hanging around",455355,en,en,en
Wondrous Place,pop,Billy Fury,1960,3910,{},"I found a place full of charms
A magic world in my baby's arms
Her soft embrace like satin and lace -
Wondrous place

What a spot in a storm
To cuddle up and stay nice and warm
Away from harm in my baby's arms -
Wondrous place

Man I'm nowhere
When I'm anywhere else
But I don't care
Everything's right when she holds me tight

Her tender hands on my face
I'm in heaven in her embrace
I wanna stay and never go away '
Wondrous place

(instrumental)
Man I'm nowhere
When I'm anywhere else
But I don't care
Everything's right when she holds me tight

Her tender hands on my face
I'm in heaven in her embrace
I wanna stay and never go away '
Wondrous place",1644404,en,en,en
Red River Valley,country,Marty Robbins,1960,3904,{},"From this valley they say you are leaving
We shall miss your bright eyes and sweet smile
For you take with you all of the sunshine
That has brightened our pathway a while

Then come sit by my side if you love me
Do not hasten to bid me adieu
Just remember the Red River Valley
And the cowboy that's loved you so true

For a long time, my darlin', I've waited
For the sweet words you never would say
Now at last all my fond hopes have vanished
For they say that you're going away

Then come sit by my side if you love me
Do not hasten to bid me adieu
Just remember the Red River Valley
And the cowboy that's loved you so true",1164454,en,en,en
To Morrow,pop,The Kingston Trio,1960,3877,{},"[Verse 1]
I started on a journey about a year ago
To a little town called Morrow in the state of Ohio
I've never been much of a traveler, and I really didn't know
That Morrow was the hardest place I'd ever try to go

[Verse 2]
So I went down to the station for my ticket and applied
For tips regarding Morrow, not expecting to be guyed
Said I, ""My friend, I'd like to go to Morrow and return
No later than tomorrow, for I haven't time to burn""

[Verse 3]
Said he to me, ""Now let me see if I have heard you right
You'd like to go to Morrow and return tomorrow night
You should have gone to Morrow yesterday and back today
For the train that goes to Morrow is a mile upon its way

[Verse 4]
If you had gone to Morrow yesterday now don't you see
You could have gone to Morrow and returned today at three
For the train today to Morrow, if the schedule is right
Today it goes to Morrow and returns tomorrow night""
[Verse 5]
Said I, ""My friend, it seems to me you're talkin' through your hat
There is a town named Morrow on the line now tell me that""
""There is,"" said he, ""but take from me a quiet little tip
To go from here to Morrow is a 14-hour trip""

[Verse 6]
""The train today to Morrow leaves today at 8:35
At half-past ten tomorrow is the time it should arrive
So if from here to Morrow is a 14-hour jump
Can you go today to Morrow and get back today, you chump?""

[Verse 7]
Said I, ""I'd like to go to Morrow, so can I go today
And get to Morrow by tonight if there is no delay?""
""Well, well,"" said he to me, ""and I've got no more to say
Can't get anywhere tomorrow and get back again today""

[Verse 8]
Said I, ""I guess you know it all, but kindly let me say
How can I get to Morrow if I leave this town today?""
Said he, ""You cannot go to Morrow any more today
'Cause the train that goes to Morrow is a mile upon its way""

[Verse 9]
I was so disappointed, I was mad enough to swear
The train had gone to Morrow and had left me standing there
That man was right in telling me that I was a howling jay
I could not go to Morrow so I guess in town I'll stay",1600357,en,en,en
Red River Rock,pop,Johnny & The Hurricanes,1960,3762,{},"Unknown
Miscellaneous
Paddy And The Whale
PADDY AND THE WHALE

Paddy O'Brian left Ireland in glee;
He had a strong notion old England to see;
He shipped in the Nellie, for England was bound
And the whiskey he drank made his head go around

Cho: Laddy whack, fol de dol, fol de rol I dee dee *

O, Paddy been never sailing before;
It made his heart ache when he heard the loud roar;
For the glance of his eye, a whale he did spy:
""I'm going to be ate,"" says Paddy,""by-and-by""

O, Paddy run forward and caught hold of the mast
He grasped his arms round and there he held fast
The boat gave a tip, and, losing his grip
Down in the whale's belly poor Paddy did slip
He was down in the whale six months and five days
Till luck one day to his throat he did pop
The whale give a snort and then give a blow
And out on the land poor Paddy did go

O, Paddy is landed and safe on the shore;
He swears that he 'll never go to sea any more
The next time he wishes old England to see
It will be when the railroad runs over the sea

Note: Alternate chorus I've heard is:
Caterwaulin', Tarpaulin', Harpoonin' and all
Tune is another Derry Down variant RG
From Ballads and Sea Songs of Newfoundland, Greenleaf
Collected from John Edison, Fleur de Lys, 1929
@sailor @fish
Filename[ PADWHAL
Play.exe DERRDWN2
RG
===DOCUMENT BOUNDARY===",2185740,en,en,en
Jim Bridger,country,Johnny Horton,1960,3730,{},"Once there was a mountain man who couldn't write his name
Yet he deserves the front row seat in History's Hall of Fame
He forgot more about the Indians than we will ever know
He spoke the language of the Sioux the Black Foot and the Crow

(Let's drink to old Jim Bridger yes lift your glasses high)
As long as there's the USA don't let his memory die
(That he was making history never once occured to him)
But I doubt if we'd been here if it weren't for men like Jim
[ ac.guitar ]
He spoke with General Custer and said listen Yellow Hair
The Sioux are the great nation so treat 'em fair and square
Sit in on their war councils, don't laugh away their pride
But Custer didn't listen at Little Big Horn Custer died
(Let's drink to old Jim Bridger...
[ ac.guitar ]
There's poems and there's legends that tell of Carson's fame
Yet compared to Jim Bridger Kit was civilized and tame
These words are straight from Carson's lips if you place that story by him
If there's a man who knows this God forsaken land it's Jim
(Let's drink to old Jim Bridger...",1183027,en,en,en
Youll Never Walk Alone,country,Elvis Presley,1960,3671,{},"[Verse 1]
When you walk through a storm hold your head up high
And don't be afraid of the dark
At the end of a storm is a golden sky
And the sweet silver song of a lark
Walk on through the wind
Walk on through the rain
Tho' your dreams be tossed and blown
Walk on, walk on with hope in your heart
And you'll never walk alone
You'll never, ever walk alone

[Verse 2]
Walk on, walk on with hope in your heart
And you'll never walk alone
You'll never, ever walk alone",198248,en,en,en
The Girl of My Best Friend,rock,Elvis Presley,1960,3604,{},"[Verse 1]
The way she walks, the way she talks
How long can I pretend?

[Chorus]
Oh, I can't help it, I'm in love
With the girl of my best friend

[Verse 2]
Her lovely hair, her skin so fair
I could go on and never end

[Chorus]
Oh, I can't help it, I'm in love
With the girl of my best friend

[Bridge]
I want to tell her how I love her so
And hold her in my arms, but then
What if she got real mad and told him so?
I could never face either one again
[Verse 3]
The way they kiss, their happiness
Will my aching heart ever mend?

[Chorus]
Or will I always be in love
With the girl of my best friend?

[Outro]
Never end
Will it ever end?
Please let it end
Will it ever end?",197139,en,en,en
Where Is Love?,pop,Lionel Bart,1960,3599,{},"Where is love?
Does it fall from skies above?
Is it underneath the willow tree
That I've been dreaming of?
Where is she?
Who I close my eyes to see?
Will I ever know the sweet ""hello""
That's only meant for me?
Who can say where she may hide?
Must I travel far and wide?
'Til I am beside the someone who
I can mean something to ...
Where...?
Where is love?

Who can say where...she may hide?
Must I travel...far and wide?
'Til I am beside...the someone who
I can mean...something to...
Where?
Where is love?",2241150,en,en,en
What Do the Simple Folk Do?,pop,Frederick Loewe,1960,3573,"{""Julie Andrews"",""Richard Burton""}","[GUENEVERE]
What do the simple folk do
To help them escape when they're blue?
The shepard who is ailing, the milkmaid who is glum
The cobbler who is wailing from nailing his thumb
When they're beset and besieged
The folk not noblessly obliged
However do they manage to shed their weary lot?
Oh, what do simple folk do we do not?

[ARTHUR]
I have been informed by those who know them well
They find relief in quite a clever way
When they're sorely pressed, they whistle for a spell
And whistling seems to brighten up their day
And that's what simple folk do
So they say

[GUENEVERE]
They whistle?
[ARTHUR]
So they say

[GUENEVERE]
What else do the simple folk do
To pluck up the heart and get through?
The wee folk and the grown folk
Who wander to and fro
Have ways known to their own folk
We throne folk don't know
When all the doldrums begin
What keeps each of them in his skin?
What ancient native custom provides the needed glow?
Oh, what do simple folk do?
Do you know?

[ARTHUR]
Once, upon the road, I came upon a lad
Singing in a voice three times his size
When I asked him why, he told me he was sad
And singing always made his spirits rise
And that's what simple folk do
I surmise

[GUENEVERE]
They sing?
[ARTHUR]
I surmise

[GUENEVERE/ARTHUR]
Arise, my love, arise, my love
Apollo's lighting the skies, my love
The meadows shine with columbine
And daffodils blossom away
Hear Venus call to one and all
And taste delight while you may
The world is bright and all is right
And life is merry and gay

[GUENEVERE]
What else do the simple folk do?
They must have a system or two
They obviously outshine us at turning tears to mirth
And tricks a royal highness is minus from birth
What, then, I wonder, do they
To chase all the goblins away?
They have some tribal sorcery you haven't mentioned yet
Oh, what do simple folk do to forget?

[ARTHUR]
Often, I am told, they dance a fiery dance
And whirl till they're completely uncontrolled
Soon the mind is blank and oh, they're in a trance
A violent trance astounding to behold
And that's what simple folk do
So I'm told
[GUENEVERE]
What else do the simple folk do
To help them escape when they're blue?

[ARTHUR]
They sit around and wonder what royal folk would do
And that's what simple folk do

[GUENEVERE]
Oh, no, really?

[ARTHUR]
I have it on the best authority

[GUENEVERE/ARTHUR]
Yes, that's what simple folk do",2825881,en,en,en
Dat Dere,pop,Oscar Brown Jr.,1960,3571,{},"Hey mama, what's that there?
And what's that doing there?
Hey mama, up here! Mama, hey look at that over there!
And what's that doing there?
And where're they going there?
And mummy can I have that big elephant over there?

Who's that in my chair?
And what's he doing there?
Mummy, up here!
Mummy, can I go over there?
Hey mummy, what is square?
And where do we get air?
And mummy can I have that big elephant over there?

Quit talking!
There's no more anything here!
Forever to manage to know who and why and where!
Quit that, child!
Sometimes the questions get filed!
And mummy can I have that big elehpant over there?
Don't wanna comb my hair
And where's my teddy bear?
Mummy, up here!
Look at the cowboy coming there!
And can I have a pair
Of boots like that to wear?
And mummy can I have that big elephant over there?

Time will march
Days will go
And little baby's going to grow
I gotta tell her what she needs to know
I'll help her along
And she'll be strong
And she'll know right from wrong

As life's parade goes marching by
She's gonna need to know some reasons why
I don't have all the answers
But I'll try the best as I can
I'll make him a man, that's right

'Cause you give the kid your best
And hope she passes the test
And I find it so hard I taught him well ***
Somewhere though she's going I betting I never will forget ***
Mummy, can I have that big elephant over there?
Hey why they do that there?
And how you put that there?
Hey mummy, up here! Hey mummy, what that say up there?
Hey mummy, what is fair?
How come I have to share?
And mummy can I have that big elephant over there?",1955867,en,en,en
My Home Town,pop,Paul Anka,1960,3562,{},"I took a little trip to my home town
I only stopped just to look around
And as I walked along the thorough-fare
There was music playing everywhere

The music came from within my heart
How did it happen how did it start
I only know that I fell in love
I guess the answer lies up above

Oh what a feeling
My heart was reeling
The bells were ringing
The birds were singing

And so the music keep goes on and on
And through the night until the break of dawn
I hear a bird up in the tree
I hear him sing this melody

And so he sings
Ya-ya-ya-ya...
Oh what a feeling
My heart was reeling
The bells were ringing
The birds were singing

And so the music keep goes on and on
And through the night until the break of dawn
And every evening when the sun goes down
I'm with my love in my home town

And so I sing
Ya-ya-ya-ya...",810254,en,en,en
In My Fathers House,rock,Elvis Presley,1960,3500,{},"[Verse 1]
In my father's house are many mansions
If it were not true he would have told me so
He has gone away to live in that bright city
He's preparing me a mansion there I know

[Verse 2]
Jesus died upon the cross to bear my sorrow
Freely died that souls like you might have new life
But I know that soon there'll come a bright tomorrow
When the world will all be free from sin and strife

[Verse 3]
(Do not shun the savior's love, from up in glory)
(Or you won't be there to sing the gospel story)
In my father's house are many mansions
If you're true then to this land you'll surely go",197199,en,en,en
Mean Eyed Cat,country,Johnny Cash,1960,3496,{},"[Verse 1]
I gave my woman half my money at the general store
I said, ""Now buy a little groceries and don't spend no more""
But she paid ten dollars for a ten-cent hat
And bought some store-bought cat food for that mean-eyed cat

[Verse 2]
When I woke up this morning and I turned my head
There wasn't a cotton-picking thing on her side of the bed
I found a little old note where her head belonged
It said, ""Dear John, honey, baby, I'm long gone""

[Verse 3]
When I heard a whistle blowing and the big wheels a-turning
I was scared as I could be
I put on my overalls and I headed for town
Gonna bring her back with me

[Verse 4]
I asked the man down at the station if he'd seen her there
I told him all about her pretty eyes and long blonde hair
He spit his tobacco and said, ""I'll be dad blamed""
""I believe I did see her leaving on the eastbound train""
[Verse 5]
I bought a round-trip ticket on the eastbound train
I was broke as I could be
But when I come back, I gotta buy another ticket
Gonna bring her back with me

[Verse 6]
Well, I got off the train somewhere in Arkansas
And I worked up the guts to call my mother-in-law
She said, ""I'll tell you where she is if you act right
She's working four-to-twelve at Trucker's World tonight""

[Verse 7]
Well, when I walked in, she saw me and she took off her apron
And she grabbed her going-home hat
She bought a ticket with her tips, now we're curled up on the sofa
Me and her and that mean-eyed cat",325636,en,en,en
East Virginia,rock,Joan Baez,1960,3412,{},"[Verse]
I was born in East Virginia
North Carolina I did roam
There I met a fair pretty maiden
Her name and age I do not know

[Verse]
Her hair it was of a brightsome color
And her lips of ruby red
On her breast she wore white lilies
There I longed to lay my head

[Verse]
Well, in my heart, you are my darling
At my door, you're welcome in
At my gate, I'll meet you, my darling
If your love I could only win

[Verse]
I'd rather be in some dark holler
Where the sun refused to shine
Than to see you be another man's darling
And to know that you'll never be mine
[Verse]
Well, in the night, I'm dreaming about you
In my day, I find no rest
Just the thought of you, my darling
Sends aching pains all through my breast

[Verse]
Well, when I'm dead and in my coffin
With my feet turned toward the sun
Come and sit beside me, darling
Come and think on the way you done",219476,en,en,en
Please Dont Talk About Me When Im Gone,pop,Dean Martin,1960,3389,{},"Please don't talk about me when I'm gone
Oh honey, though our friendship ceases from now on
And listen, if you can't say anything real nice
It's better not to talk at all is my advice

We're parting, you go your way I'll go mine
It's best that we do
Here's a kiss I hope that this brings lots of luck to you
Oh makes no difference how I carry on
Remember, please don't talk about me when I'm gone

We're parting, you go your way I'll go mine
It's best that we do
Here's a kiss I hope that this brings lots of luck to you
Makes no difference how I carry on
Remember, please don't talk about me
Please don't talk about me
Please don't talk about me when I'm gone",1724281,en,en,en
The Seven Deadly Virtues,pop,Frederick Loewe,1960,3259,"{""Roddy McDowall""}","[MORDRED]
The seven deadly virtues, those ghastly little traps
Oh no, my liege, they were not meant for me
Those seven deadly virtues were made for other chaps
Who love a life of failure and ennui
Take courage; now there's a sport
An invitation to the state of rigor mort
And purity, a noble yen
And very restful every now and then
I find humility means to be hurt
It's not the earth the meek inherit, it's the dirt
Honesty is fatal, it should be taboo
Diligence, a fate I would hate
If charity means giving, I give it to you
And fidelity is only for your mate
You'll never find a virtue unstatusing my quo
Or making my Beelzebubble burst
Let others take the high road, I will take the low
I cannot wait to rush in where angels fear to go
With all those seven deadly virtues
Free and happy little me has not been cursed",2825880,en,en,en
A Fool In Love,rb,Ike & Tina Turner,1960,3239,{},"[Intro]
Oh, there's something on my mind
Won't somebody please, please tell me what's wrong

[Chorus]
You're just a fool, you know you're in love
You've got to face it to live in this world
You take the good along with the bad
Sometimes you're happy and sometimes you're sad
You know you love him, you can't understand
Why he treats you like he do when he's such a good man

[Verse 1]
He's got me smiling when I should be ashamed
Got me laughing when my heart is in pain
Oh no, I must be a fool
But I'll do anything he wants me to do

[Chorus]
You're just a fool, you know you're in love
You've got to face it to live in this world
You take the good along with the bad
Sometimes you're happy and sometimes you're sad
You know you love him, you can't understand
Why he treats you like he do when he's such a good man
[Verse 2]
Without a man I don't wanna live
You think I'm lying but I'm telling you like it is
He's got my nose open and that's no lie
And I, I'm gonna keep him satisfied

[Chorus]
You're just a fool, you know you're in love
You've got to face it to live in this world
You take the good along with the bad
Sometimes you're happy and sometimes you're sad
You know you love him, you can't understand
Why he treats you like he do when he's such a good man

[Verse 3]
Waves of action speaks louder than words
The truest thing that I ever heard
I trust my man and all that he do
And I, and I'll do anything he wants me to

[Chorus]
You're just a fool, you know you're in love
You've got to face it to live in this world
You take the good along with the bad
Sometimes you're happy and sometimes you're sad
You know you love him, you can't understand
Why he treats you like he do when he's such a good man",823600,en,en,en
Boys,rock,The Shirelles,1960,3193,{},"[Verse 1]
I been told when a boy kiss a girl
She takes a trip around the world
Yeah yeah
Hey hey
Hey hey hey she say you do

[Verse 2]
Mama says when I kiss your lips
I get a thrill through my fingertips
Yeah yeah (Shod shu bop, du shod shod shu bop)
Hey, hey (Shod shu bop, du shod shod shu bop)
Hey, hey (Shod shu bop, du shod shod shu bop)
Hey, she say ya do (Shod shu bop bop)

[Chorus]
Well, I'm talkin' 'bout boys (Yeah yeah boys)
Don't ya know I mean boys (Yeah yeah boys)
Well, I'm talkin' 'bout boys (Yeah yeah boys)
Don't ya know I mean boys (Yeah yeah boys)
Well, I'm talkin' 'bout boys (Yeah yeah boys)
Hey what a bundle of joy (Yeah yeah boys)
[Instrumental verse: Solo saxophone]

[Chorus]
Well, I'm talkin' 'bout boys (Yeah yeah boys)
Don't ya know I mean boys (Yeah yeah boys)
Well, I'm talkin' 'bout boys (Yeah yeah boys)
Don't ya know I mean boys (Yeah yeah boys)
Well, I'm talkin' 'bout boys (Yeah yeah boys)
Hey what a bundle of joy (Yeah yeah boys)

[Outro]
Boys (Yeah yeah boys)
You know I'm talkin' 'bout boys  (Yeah yeah boys)
Well boys (Yeah yeah boys)
Well I'm talkin' 'bout boys  (Yeah yeah boys)
Well I'm talkin' 'bout boys",117713,en,en,en
G.I. Blues,rock,Elvis Presley,1960,3173,{},"[Verse 1]
They give us a room with a view of the beautiful Rhine
They give us a room with a view of the beautiful Rhine
But give me a muddy old creek in Texas any old time

[Chorus]
I've got those hup, two, three, four, Occupation G.I. Blues
From my G.I. hair to the heels of my G.I. shoes
And if I don't go stateside soon, I'm gonna blow my fuse

[Verse 2]
We get hasenpfeffer and black pumpernickel for chow
We get hasenpfeffer and black pumpernickel for chow
I'd blow my next month's pay for a slice of Texas cow

We'd like to be heroes, but all that we do here is march
We'd like to be heroes, but all that we do here is march
And they don't give the Purple Heart for a fallen arch

[Chorus]
I've got those hup, two, three, four, Occupation G.I. Blues
From my G.I. hair to the heels of my G.I. shoes
And if I don't go stateside soon, I'm gonna blow my fuse
[Verse 3]
The frauleins are pretty as flowers, but we can't make a pass
The frauleins are pretty as flowers, but we can't make a pass
'Cause they're all wearing signs saying: ""Keepen sie off the grass""

[Chorus]
I've got those hup, two, three, four, Occupation G.I. Blues
From my G.I. hair to the heels of my G.I. shoes
And if I don't go stateside soon, I'm gonna blow my fuse",197148,en,en,en
Blue Angel,rock,Roy Orbison,1960,3165,{},"Sha la la, dooby wah
Dum dum dum, yeh yeh, um
Sha la la, dooby wah
Dum dum dum, yeh yeh um

Oh blue angel, don't you cry
Just because he said goodbye
Oh, ahh ahh ahh
No don't cry

Oh blue angel, have no fear
Brush away lonely teardrops
Hey hey, whoa whoa

Well love's precious flame can just burn in vain
But you're not to blame
You thought love was a game and it's oh such a shame
But don't you cry, don't sigh, I'll tell you why
I'll never say goodbye blue angel

Sha la la, dooby wah
Dum dum dum, yeh yeh, um
Wah wah wah wah
Dum dum dum dum dum dum
We'll have lovin' so fine
Magic moments divine
If you'll just say you're mine
I'll love you till the end of time

Don't you worry your pretty head
I'll never let you down
I'll always be around
Blue angel

Sha la la, dooby wah
Dum dum dum, yeh yeh, um
Blue angel
Sha la la",769108,en,en,en
Lumberjack,country,Johnny Cash,1960,3154,{},"[Intro]
Ride this train to Roseburg, Oregon, now there's a town for you
And you talk about rough
You know a lot of places in the country claim Paul Bunyon lived there
But you should have seen Roseburg when me and my daddy come there
Every one of them loggers looked like Paul Bunyon to me
And I was a skinny kid about sixteen
And I was scared to death when we walked into that camp
None of the lumberjacks paid any attention to me at first
But when my pa told the boss that me and him wanted a job
A lot of 'em stopped their work to see what was gonna happen
That big boss walked around me looked me up and down and said
Mister, I believe that boy is made out of second growth timber and I guess I was
Everybody but me and pa had a big laugh over it
Pa got kinda mad and the boss finally said he might start me out as a high climber
I didn't know what a high climber was, boy, I sure learned fast
That steel corded rope cut my back and that axe
I thought it was gonna break my arms off but I stuck with it
It wasn't long 'til I learned that a man's got to be a lot tougher than the timber he's cuttin'
Finally I could swing that crosscut saw with the best of them
[Verse 1]
I lived on a farm out in Iowa
I pulled the corn and I worked in the hay
Got trapped by a girl but I wiggled free
Heard the Oregon timber calling me

[Chorus]
Will you tell me something, Mr. Lumberjack?
Is it one for forward and three for back?
Is it two for stop or four for go?
Boy, ask a whistle punk, I don't know

[Verse 2]
Well, I learned this fact from a logger named Ray
You don't cut timber on a windy day
Stay out of the woods when the moisture's low
Or you ain't gonna live to collect your dough

[Chorus]
Will you tell me something, Mr. Lumberjack?
Is it one for forward and three for back?
Is it two for stop or four for go?
Boy, ask a whistle punk, I don't know

[Verse 3]
Well you work in the woods from morning to night
You laugh and sing and you cuss and fight
On Saturday night you go to Eugene
And on a Sunday morning, your pockets are clean
[Chorus]
Will you tell me something, Mr. Lumberjack?
Is it one for forward and three for back?
Is it two for stop or four for go?
Boy, ask a whistle punk, I don't know",321733,en,en,en
New Yorks My Home,rock,Ray Charles,1960,3053,{},"[Intro]
There's a rumour going around
That some of you good people
Want to leave this town

[Verse 1]
But you better consult me before you go
Cause I've been in all these places
And I know
Chicago's all right
It's got the Wrigley Field and
Soldier's Field and Marshall Field
And it's on a nice lake

[Chorus]
But it hasn't got
The hansoms in the park
It hasn't got a skyline after dark
That's why New York's my home
Never let me leave it
New York's my home, sweet home
[Verse 2]
What about Hollywood
Hollywood's got movie stars and
Movie czars and cocktail bars and
Shiny cars and a wonderful climate, they say

[Chorus]
But it hasn't got
The handy subway train
You seldom find a taxi
When it rains
That's why New York's my home
Keep your California
New York's my home, sweet home

[Verse 3]
Geez, what's happening in St.Louis
Lots of people like St.Louis
It's got lots of shoes
And the St.Louis blues and
One of our larger rivers runs by

[Chorus]
But it hasn't got the opera in The Met
It hasn't got a famous string quartet
That's why New York's my home
No, not a place to visit
New York's my home, sweet home
[Verse 4]
San Francisco [x2]
Is a lovely place
It's got lots of hills
And lots of thrills and it's
On an ocean of some size

[Chorus]
But it hasn't got
The Bowery or The Bronx
It hasn't got the Harlem honkytonks
That's why New York's my home
Yeah, it's my favorite city
New York's my home, sweet home

[Verse 5]
So, save your time and trouble
I say save your railroad fare
I said save your time and trouble, brother
Save your railroad fare

[Outro]
Cause when you leave New York
Let me say, you ain't going nowhere",432205,en,en,en
Dreamin,pop,Johnny Burnette,1960,3020,{},"Dreamin' I'm always dreamin'
Dreamin' love will be mine
Searchin' I'm always searchin'
Hopin' someday I'll find
Someone, someone to love me
Someone to need me but until then
Well I'll keep on dreamin'
Keep right on dreamin'
Dreamin' till my dreamin' comes true ue ue ue ue ue ue ue...

Dreamin' I'm always dreamin'
Dreamin' love will be mine
Searchin' I'm always searchin'
Hopin' someday I'll find
Someone, someone to needs me
Someone to love me but until then
Well I'll keep on dreamin'
Keep right on dreamin'
Dreamin' till my dreamin' comes true ue ue ue...

Well I'll keep on dreamin'
I got 'll keep on dreamin'
I got 'll keep...",761882,en,en,en
Adam and Eve,pop,Paul Anka,1960,3008,{},"In the garden of Eden
A long time ago
There was a story
I'm sure you all know

I'm sure you remember
And I know you believe
The story of Adam and Eve

In the garden of eden
Where life began
Yes the very beginning
Of woman and man

I'm sure you remember
And I know you believe
The story of Adam and Eve

There within the garden
Was they both fell in love
Sheltered by the guiding hand
Of the One above
Life was filled with happiness
Until one day arose
A very great temptation
Well you know how it goes..

In the garden of Eden
A long time ago
There was a story
I'm sure you all know

I'm sure you remember
I'm sure you believe
The story of Adam and Eve

In the garden of Eden
A long time ago
Ohh such a story
I'm sure you all know

I'm sure you remember
I know you believe, yes you believe
The story..
Of Adam..
And Eve",810725,en,en,en
Fie on Goodness,pop,Frederick Loewe,1960,2990,{},"[COMPANY]
Fie on goodness, fie
Fie on goodness, fie
Eight years of kindness to your neighbor
Making sure that the meek are treated well
Eight years of philanthropic labor
Derry down dell
Damn, but it's hell
Oh, fie on goodness, fie
Fie, fie, fie

It's been depressing all the way (derry down, derry down)
And getting glummer every day (derry down, derry down)

[KNIGHT 1]
Ah, but to burn a little town or slay a dozen men
Anything to laugh again

[COMPANY]
Oh, fie on goodness, fie
Fie, fie, fie, fie, fie
[KNIGHT 1]
When I think of the rollicking pleasures that earlier filled my life
Lolly lo, lolly lo
Like the time I beheaded a man who was beating his naked wife

[COMPANY]
Lolly lo, lolly lo

[KNIGHT 1]
I can still hear his widow say
Never moving from where she lay
""Tell me, what can I do, I beg, sir, of you
Your kindness to repay...?""

[COMPANY]
Fie on goodness, fie
Fie on goodness, fie

[KNIGHT 2]
Lechery and vice have been arrested

[KNIGHT 3]
Arrested!

[KNIGHT 2]
Not a maiden is evermore in threat
Virgins may wander unmolested
[KNIGHT 4]
Unmolested!

[COMPANY]
Lolly lo let
Gad, it's a sweat
Oh, fie on goodness, fie
Fie, fie, fie, fie, fie

[KNIGHT 5]
How we roared and brawled in Scotland
Not a law was e'er obeyed
And when wooing called in Scotland
We'd grab any passing maid
Ah, my heart is still in Scotland
Where the lasses woo the best
On some bonny hill in Scotland
Stroking someone's bonny...

[COMPANY]
Fie on Scotland, fie
Fie on Scotland, fie

No one repents for any sin now
Every soul is immaculate and trim
[SOME KNIGHTS]
Immaculate!

[COMPANY]
No one is covered with chagrin now
Nonny no nim
Gad, but it's grim
Oh, fie on goodness, fie
Fie, fie, fie

There's not a folly to deplore
Derry down, derry down
Confession Sunday is a bore
Derry down, derry down

[KNIGHT 1]
Ah, but to spend a tortured evening staring at the floor
Guilty and alive once more

[COMPANY]
Oh, fie on virtue, fie
Fie on mercy, fie
Fie on justice
Fie on goodness
Fie, fie, fie, fie
Fie!",2825901,en,en,en
