title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Angel Baby,rb,Rosie & The Originals,1960,42012,{},"It's just like heaven
Being here with you
You're like an Angel
Too good to be true

But after all
I love you, I do
Angel Baby
My Angel Baby

When you are near me
My heart skips a beat
I can hardly stand on
My own two feet

Because I love you
I love you, I do
Angel Baby
My Angel baby

Whoo who, I love you
Whoo, I do
No one could love you
Like, I do
Wooo Whooo whoo whoo whoo
Woo Whooo Whoo

Please never leave me
Blue and alone
If you ever go
I'm sure you'll come back home

Because I love you
I love you, I do
Angel baby
My Angel baby

It's just like heaven
Being with you, dear
I could never stay
Away without you near

Because I love you
I love you, I do
Angel Baby
My Angel baby

Wooohoo I love you
Whooohoo I do
No one could love you
Like I do
Woooo whooo whooo
Woooooo whoo whoo",814800,en,en,en
The Hippopotamus Song,pop,Flanders & Swann,1960,41548,"{""Donald Swann"",""Michael Flanders""}","[Verse 1]
[FLANDERS & SWANN]
A bold hippopotamus was standing one day
On the banks of the cool Shalimar
He gazed at the bottom, as it peacefully lay
By the light of the evening star
Away on a hilltop sat combing her hair
His fair hippopotami maid
The hippopotamus was no ignoramus
And sang her this sweet serenade

[Chorus]
Mud, mud, glorious mud
Nothing quite like it for cooling the blood
So follow me, follow
Down to the hollow
And there let us wallow in glorious mud

[Verse 2]
The fair hippopotama he aimed to entice
From her seat on that hilltop above
As she hadn't got a ma to give her advice
Came tip-toeing down to her love
Like thunder the forest re-echoed the sound
Of the song that they sang as they met
His inamorata adjusted her garter
And lifted her voice in duet
[FLANDERS]
Falsetto!

[Chorus]
[FLANDERS & SWANN]
Mud, mud, glorious mud
Nothing quite like it for cooling the blood
So follow me, follow
Down to the hollow
And there let us wallow in glorious mud

[Verse 3]
Now more hippopotami began to convene
On the banks of that river so wide
I wonder now what-am-I to say of the scene
That ensued by the Shalimar side?
They dived all at once with an ear-splitting splosh
Then rose to the surface again
A regular army of hippopotarmy
All singing this haunting refrain

[FLANDERS]
Now's yer chance!

[Chorus]
[FLANDERS & SWANN & AUDIENCE]
Mud, mud, glorious mud
Nothing quite like it for cooling the blood
So follow me, follow
Down to the hollow
And there let us wallow in glorious mud!",2073038,en,en,en
Let It Be Me,rock,The Everly Brothers,1960,41496,"{""​The Everly Brothers""}","I bless the day I found you
I want to stay around you
And so I beg you, let it be me

Don't take this heaven from one
If you must cling to someone
Now and forever, let it be me

Each time we meet love
I find complete love
Without your sweet love what would life be

So never leave me lonely
Tell me you love me only
And that you'll always let it be me

Each time we meet love
I find complete love
Without your sweet love what would life be

So never leave me lonely
Tell me you love me only
And that you'll always---let--it—be--me",1767907,en,en,en
Im Sorry,country,Brenda Lee,1960,40919,{},"I'm sorry, so sorry
That I was such a fool
I didn't know love could be so cruel
Oh-oh-oh-oh-oh-oh-oh-yes

You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done

(I'm sorry) I'm sorry
(So sorry) So sorry
Please accept my apology
But love is blind
And I was too blind to see

Oh-oh-oh-oh-oh-oh-oh-yes

You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done
Oh-oh-oh-oh-oh-oh-oh-yes
I'm sorry, so sorry
Please accept my apology
But love was blind
And I was too blind to see

(Sorry)",715354,en,en,en
Youve Got to Pick a Pocket or Two,pop,Lionel Bart,1960,38129,{},"This life
One thing counts
In the bank
Large amounts
I'm afraid these don't grow on trees
You've got to pick a pocket or two
You've got to pick a pocket or two
Boys!
You've got to pick a pocket or two

Large amounts don't grow on trees
You've got to pick a pocket or two

Why should we break our backs?
Stupidly
Paying tax
Better get some untaxed income
Better pick a pocket or two
You've got to pick a pocket or two
Boys!
You've got to pick a pocket or two
Why should we all break our backs
Better pick a pocket or two

Robin Hood
What a crook
Gave away what he took
Charity's fine
Subscribe to mine
Get out and pick a pocket or two
You've got to pick a pocket or two
Boys!
You've got to pick a pocket or two

Robin hood was far too good
He had to pick a pocket or two

Take a tip
From Bill Sikes
He can whip
What he likes
I recall he started small
He had to pick a pocket or two
You've got to pick a pocket or two
Boys!
Got to pick a pocket or two
We could be like old Bill Sikes
If we pick a pocket or two

Dear old gent
Passing by
Something nice takes his eye
Everything's clear
Attack the rear
Get in and pick a pocket or two
You've got to pick a pocket or two
Boys!
You've got to pick a pocket or two

Have no fear
Attack the rear
Get in pick a pocket or two

When I see
Someone rich
Both my thumbs
Start to itch
Only to find some piece of mind
I have to pick a pocket or two
You've got to pick a pocket or two
Bo-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-ys!
You've got to pick a pocket or two
Just to find some piece of mind
We have to pick a pocket or two",2234574,en,en,en
Stuck on You,rock,Elvis Presley,1960,37609,{},"[Verse 1]
You can shake an apple off an apple tree
Shake-a, shake-a sugar, but you'll never shake me
Uh-uh-uh
No-sir-ee, uh, uh
I'm going to stick like glue
Stick, because I'm
Stuck on you

[Verse 2]
I'm going to run my fingers thru your long black hair
Squeeze you tighter than a grizzly bear
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm going to stick like glue
Stick, because I'm
Stuck on you

[Verse 3]
Hide in the kitchen, hide in the hall
Ain't gonna do you no good at all
'Cause once I catch you and the kissing starts
A team of wild horses couldn't tear us apart
[Verse 4]
Try to take a tiger from his daddy's side
That's how love is going to keep us tied
Uh-uh-uh
Oh yeah, uh, uh
I'm gonna stick like glue
Stick, because I'm
Stuck on you

[Verse 3]
Hide in the kitchen, hide in the hall
Ain't gonna do you no good at all
'Cause once I catch you and the kissing starts
A team of wild horses couldn't tear us apart

[Verse 4]
Try to take a tiger from his daddy's side
That's how love is going to keep us tied
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm gonna stick like glue, yeah yeah
Because I'm stuck on you

I'm gonna stick like glue, yeah yeah
Because I'm stuck on you
I'm gonna stick like glue, yeah yeah
Because I'm stuck on you",197256,en,en,en
A Sunday Kind of Love,rb,Etta James,1960,36956,{},"[Verse 1]
I want a Sunday kind of love
A love to last past Saturday night
And I’d like to know it’s more than love at first sight
And I want a Sunday kind of love, oh yeah yeah

[Verse 2]
I want a, a love that’s on the square
Can’t seem to find somebody, someone to care
And I’m on a lonely road that leads to nowhere
I need a Sunday kind of love

[Bridge]
I do my Sunday dreaming, oh yeah
And all my Sunday scheming
Every minute, every hour, every day
Oh, I’m hoping to discover
A certain kind of lover
Who will show me the way

[Verse 3]
And my arms need someone, someone to enfold
To keep me warm when Mondays and Tuesdays grow cold
Love for all my life, to have and to hold
Oh and I want a Sunday kind of love
[Outro]
Oh yeah
Yeah, yeah
I don’t want a Monday
Tuesday or Wednesday
Or Thursday, Friday
Or Saturday
Oh, nothing
But Sunday
Oh yeah
I want a Sunday
Sunday
I want a Sunday kind of love
Oh yeah
Sunday, Sunday
Sunday kind of love",488955,en,en,en
Chain Gang,rb,Sam Cooke,1960,36411,{},"[Intro]
Hoh ah, hoh, I hear something saying
Hoh ah, hoh ah
Hoh ah, hoh ah

[Chorus]
Well don't you know
That's the sound of the men
Working on the chain, gang
That's the sound of the men
Working on the chain, gang

[Bridge]
All day long they're saying, hoh ah
Hoh ah, hoh ah, hoh ah

[Chorus]
Well don't you know
That's the sound of the men
Working on the chain, gang
That's the sound of the men
Working on the chain, gang
[Verse 1]
All day long they work so hard till the sun is going down
Working on the highways and byways and wearing, wearing a frown
You hear they moaning their lives away
Then you hear somebody say;

[Chorus]
Well don't you know
That's the sound of the men
Working on the chain, gang
That's the sound of the men
Working on the chain, gang

[Verse 2]
Can't you hear them singing, mmm hoh ah
I'm going home one of these days
I'm going home, see my woman
Whom I love so dear
But meanwhile, I gotta work right here

[Chorus]
Well don't you know
That's the sound of the men
Working on the chain, gang
That's the sound of the men
Working on the chain, gang
[Outro]
All day long they're singing, mm hoh ah
My, my, my, my, my, my, my, my work is so hard
Give me water, I'm thirsty, my, my work is so hard
Woah oh
My, my, my, my, my, my, my, my work is so hard",219397,en,en,en
Love Hurts,pop,The Everly Brothers,1960,32344,"{""​The Everly Brothers""}","[Verse 1]
Love hurts, love scars
Love wounds and mars
Any heart, not tough
Nor strong enough
To take a lot of pain
Take a lot of pain
Love is like a cloud
Holds a lot of rain

[Chorus]
Love hurts
Love hurts

[Verse 2]
I'm young, I know
But even so
I know a thing or two
I've learned from you
I've really learned a lot
Really learned a lot
Love is like a stove
It burns you when it's hot
[Chorus]
Love hurts
Love hurts

[Bridge]
Some fools rave of happiness
Blissfulness, togetherness
Some fools fool themselves I guess
But they're not foolin' me

[Refrain]
I know it isn't true
Know it isn't true
Love is just a lie
Made to make you blue

[Chorus]
Love hurts
Love hurts
Love hurts",176491,en,en,en
My Old Mans a Dustman,pop,Lonnie Donegan,1960,30674,{},"Now here's a little story
To tell it is a must
About an unsung hero
That moves away your dust

Some people make a fortune
Others earn a mint
My old man don't earn much
In fact he's flippin' skint

Oh, my old man's a dustman
He wears a dustman's hat
He wears cor-blimey trousers
And he lives in a council flat

He looks a proper nana
In his great big hobnail boots
He's got such a job to pull them up
That he calls 'em daisy roots

Some folks give tips at Christmas
And some of them forget
So when he picks their bins up
He spills some on the step
Now one old man got nasty
And to the council wrote
Next time my old man went 'round there
He punched him up the throat

Oh my old man's a dustman
He wears a dustman's hat
He wears cor-blimey trousers
And he lives in a council flat

Lonnie: I say, I say, Les
Les: Yes?
Lonnie: I, er, I found a police dog in my dustbin
Les: Well how do you do know he's a police dog?
Lonnie: He had a policeman with him

Though my old man's a dustman
He's got an 'eart of gold
He got married recently
Though he's eighty-six years old

We said ""'Ere, hang on, Dad
You're getting past your prime""
He said ""Well, when you get to my age
It helps to pass the time.""
Oi! My old man's a dustman
He wears a dustman's hat
He wears cor-blimey trousers
And he lives in a council flat

Lonnie: I say, I say, I say!
Les: Huh?
Lonnie: My dustbin's full of lilies
Les: Well throw 'em away then!
Lonnie: I can't: Lily's wearing them

Now one day whilst in a hurry
He missed a lady's bin
He hadn't gone but a few yards
When she chased after him

""What game do you think you're playing?""
She cried right from the 'eart
""You've missed me, am I too late?""
""No, jump up on the cart!""

Oi! My old man's a dustman
He wears a dustman's hat
He wears cor-blimey trousers
And he lives in a council flat
Lonnie: I say, I say, I say!
Les: Not you again!
Lonnie: My dustbin's absolutely full with toadstools
Les: How do you know it's full?
Lonnie: 'Cause there's not mushroom inside

He found a tiger's head one day
Nailed to a piece of wood
The tiger looked like miserable
But I suppose he should

Just then from out a window
A voice began to wail
It said ""Oi! Where's me tiger's head?""
""Four foot from his tail.""

Oh my old man's a dustman
He wears a dustman's hat
He wears cor-blimey trousers
And he lives in a council flat

Next time you see a dustman
Looking all pale and sad
Don't kick him in the dustbin
It might be my old dad",1604232,en,en,en
